Target	Ref	Chr	Pos
M_444	Tif1	A01	102902674
M_445	Tif1	A01	103123815
M_446	Tif1	A01	103274089
M_447	Tif1	A01	103599452
M_449	Tif1	A01	103660267
M_451	Tif1	A01	104209441
M_452	Tif1	A01	104394121
M_457	Tif1	A01	104926265
M_464	Tif1	A01	105384161
M_474	Tif1	A01	106764231
M_477	Tif1	A01	106938363
M_478	Tif1	A01	107631326
M_479	Tif1	A01	107689497
M_481	Tif1	A01	107749021
M_495	Tif1	A01	110100229
M_498	Tif1	A01	110626407
M_504	Tif1	A01	110960817
M_3900	Tif1	A01	110961393
M_505	Tif1	A01	111064999
M_507	Tif1	A01	111381417
T_18	Tif1	A02	97165
M_530	Tif1	A02	1314084
M_536	Tif1	A02	1793589
T_21	Tif1	A02	1893727
M_546	Tif1	A02	2576229
M_559	Tif1	A02	3054431
M_561	Tif1	A02	3706464
M_573	Tif1	A02	5233603
M_580	Tif1	A02	6096296
T_23	Tif1	A02	6170425
M_589	Tif1	A02	7333077
M_596	Tif1	A02	9570530
T_24	Tif1	A02	9684761
M_602	Tif1	A02	11264065
M_604	Tif1	A02	11524192
M_612	Tif1	A02	13875617
M_647	Tif1	A02	28692068
M_664	Tif1	A02	39252030
M_661	Tif1	A02	49644192
T_25	Tif1	A02	53763253
M_678	Tif1	A02	58622804
M_684	Tif1	A02	63958866
M_695	Tif1	A02	69088862
M_716	Tif1	A02	76569889
M_727	Tif1	A02	79993811
M_729	Tif1	A02	80482042
M_735	Tif1	A02	82933578
M_736	Tif1	A02	83270032
M_743	Tif1	A02	86395789
M_744	Tif1	A02	86395790
M_753	Tif1	A02	88086248
M_757	Tif1	A02	88679332
M_758	Tif1	A02	88682969
M_759	Tif1	A02	88902484
M_763	Tif1	A02	89231852
M_760	Tif1	A02	89336801
T_26	Tif1	A02	90235292
M_767	Tif1	A02	91029587
M_768	Tif1	A02	91038220
M_770	Tif1	A02	91038289
M_774	Tif1	A02	91550839
M_781	Tif1	A02	92405538
T_27	Tif1	A02	94351956
T_28	Tif1	A02	95275389
M_797	Tif1	A02	95288819
M_801	Tif1	A02	96254742
M_802	Tif1	A02	96307368
M_804	Tif1	A02	96457929
M_807	Tif1	A02	97342670
T_30	Tif1	A02	100333229
M_828	Tif1	A03	651187
M_837	Tif1	A03	2739198
T_31	Tif1	A03	3568493
M_849	Tif1	A03	4323613
M_856	Tif1	A03	7272537
M_2602	Tif1	A03	10809307
M_869	Tif1	A03	11346642
M_877	Tif1	A03	12770621
T_33	Tif1	A03	14019785
T_34	Tif1	A03	14020327
M_884	Tif1	A03	16349144
M_883	Tif1	A03	16460745
M_689	Tif1	A03	16814239
M_690	Tif1	A03	17473937
M_692	Tif1	A03	17811574
M_887	Tif1	A03	18139275
M_888	Tif1	A03	18139406
M_892	Tif1	A03	18816473
M_900	Tif1	A03	21594745
M_905	Tif1	A03	23050614
M_906	Tif1	A03	23196032
M_909	Tif1	A03	23550852
M_910	Tif1	A03	23712298
M_911	Tif1	A03	23816460
T_35	Tif1	A03	24136503
M_914	Tif1	A03	24472768
M_915	Tif1	A03	24688434
T_36	Tif1	A03	26728449
M_922	Tif1	A03	26933288
M_930	Tif1	A03	27498980
M_937	Tif1	A03	28569399
M_950	Tif1	A03	31345953
M_960	Tif1	A03	32642506
M_963	Tif1	A03	33007219
M_969	Tif1	A03	34923189
M_971	Tif1	A03	35125547
M_974	Tif1	A03	35383147
M_975	Tif1	A03	35960082
M_977	Tif1	A03	35967869
M_991	Tif1	A03	38640276
M_1004	Tif1	A03	41700524
M_1009	Tif1	A03	42540480
M_1010	Tif1	A03	42595493
M_1011	Tif1	A03	42611371
T_37	Tif1	A03	43024113
M_1020	Tif1	A03	43080925
M_1021	Tif1	A03	43392736
M_1022	Tif1	A03	43527471
M_1028	Tif1	A03	44111211
M_1030	Tif1	A03	44610026
M_1033	Tif1	A03	46616904
M_1035	Tif1	A03	47934260
M_1039	Tif1	A03	50290122
M_1043	Tif1	A03	51492844
M_1053	Tif1	A03	55416109
M_1075	Tif1	A03	59027187
M_1064	Tif1	A03	65451607
M_1066	Tif1	A03	65539293
M_1023	Tif1	A03	70979742
M_1055	Tif1	A03	71756167
T_39	Tif1	A03	71856233
M_1086	Tif1	A03	82591925
M_1056	Tif1	A03	89419572
M_1094	Tif1	A03	89574707
M_1103	Tif1	A03	101014608
M_1109	Tif1	A03	102475616
M_1108	Tif1	A03	102652299
M_1107	Tif1	A03	104927622
M_2414	Tif1	A03	108038543
M_1114	Tif1	A03	108510146
M_1116	Tif1	A03	108768543
M_1117	Tif1	A03	109549767
M_1123	Tif1	A03	112033425
M_1128	Tif1	A03	113305571
M_1132	Tif1	A03	114751734
M_1134	Tif1	A03	115231622
T_40	Tif1	A03	116234590
M_1140	Tif1	A03	116442356
T_41	Tif1	A03	116755179
T_42	Tif1	A03	116782093
M_1143	Tif1	A03	116951174
M_1145	Tif1	A03	117556380
M_1152	Tif1	A03	119296424
M_1156	Tif1	A03	119804483
M_1157	Tif1	A03	119810954
M_1160	Tif1	A03	120403845
M_1161	Tif1	A03	121260997
M_1166	Tif1	A03	122881169
M_1168	Tif1	A03	123000862
M_1178	Tif1	A03	125103295
M_1181	Tif1	A03	126127700
T_43	Tif1	A03	127548654
T_44	Tif1	A03	127548686
T_45	Tif1	A03	131993190
T_47	Tif1	A03	132012460
M_1210	Tif1	A03	132517306
M_1219	Tif1	A03	134389971
M_1225	Tif1	A03	135104020
M_1228	Tif1	A03	135435979
M_1235	Tif1	A03	136823991
M_1238	Tif1	A03	137144714
M_1240	Tif1	A03	137753765
M_1241	Tif1	A03	137849369
M_1242	Tif1	A03	138629718
M_1243	Tif1	A03	138629816
M_1247	Tif1	A03	138910761
M_1250	Tif1	A03	139271001
M_1251	Tif1	A03	139446842
M_1252	Tif1	A03	139743926
M_1255	Tif1	A03	140197092
M_1260	Tif1	A03	140945694
M_1265	Tif1	A03	141434361
M_1269	Tif1	A03	142407980
M_1271	Tif1	A03	142777447
M_1272	Tif1	A03	142806553
T_49	Tif1	A03	143333380
M_1278	Tif1	A03	143335037
M_1286	Tif1	A04	1841671
M_1294	Tif1	A04	3594481
M_1295	Tif1	A04	3760592
M_1301	Tif1	A04	4588115
M_1304	Tif1	A04	5057799
M_1309	Tif1	A04	6170316
M_1322	Tif1	A04	8975131
T_52	Tif1	A04	9401469
M_1326	Tif1	A04	9711194
M_1327	Tif1	A04	10252892
T_54	Tif1	A04	10341183
M_1346	Tif1	A04	15077950
M_1351	Tif1	A04	15810680
M_1352	Tif1	A04	15898836
M_1355	Tif1	A04	17367386
M_1358	Tif1	A04	18124425
M_1361	Tif1	A04	18824517
M_1362	Tif1	A04	18848129
M_1365	Tif1	A04	19844487
M_1366	Tif1	A04	19847265
M_1371	Tif1	A04	20118214
M_1372	Tif1	A04	20819161
M_1381	Tif1	A04	26241799
M_1384	Tif1	A04	27546046
M_1387	Tif1	A04	28557342
M_1417	Tif1	A04	36039228
M_1424	Tif1	A04	38455268
M_1467	Tif1	A04	57359845
M_1410	Tif1	A04	60968800
M_1520	Tif1	A04	67873355
M_1460	Tif1	A04	68811864
M_1449	Tif1	A04	71313984
M_1507	Tif1	A04	76395878
M_1500	Tif1	A04	78636907
M_1499	Tif1	A04	78952397
M_1494	Tif1	A04	79691569
M_1490	Tif1	A04	80904224
T_55	Tif1	A04	84558021
M_1594	Tif1	A04	87599792
M_1532	Tif1	A04	89450185
M_1548	Tif1	A04	95831215
M_1438	Tif1	A04	96335484
M_1551	Tif1	A04	98308761
M_1554	Tif1	A04	98751695
M_1561	Tif1	A04	100920594
M_1614	Tif1	A04	101029322
M_1564	Tif1	A04	101089930
M_1571	Tif1	A04	102668172
M_1575	Tif1	A04	103463944
M_1577	Tif1	A04	103779830
M_1584	Tif1	A04	105449106
M_1586	Tif1	A04	106667447
M_1589	Tif1	A04	108890395
M_1597	Tif1	A04	110206081
M_1601	Tif1	A04	110842121
M_1610	Tif1	A04	111978688
M_1609	Tif1	A04	111978944
M_1608	Tif1	A04	111978983
M_1607	Tif1	A04	111979458
M_1606	Tif1	A04	111979491
M_1615	Tif1	A04	113947106
M_1643	Tif1	A04	121002585
M_1644	Tif1	A04	121004089
M_1645	Tif1	A04	121014810
M_1646	Tif1	A04	121015811
M_1647	Tif1	A04	121015889
M_1649	Tif1	A04	121137387
M_5014	Tif1	A04	123380174
M_1656	Tif1	A04	123383122
M_1658	Tif1	A04	123395971
M_1659	Tif1	A04	123397290
M_1660	Tif1	A04	123428681
M_5015	Tif1	A04	123437307
M_1668	Tif1	A04	124290107
T_58	Tif1	A04	124439488
M_1669	Tif1	A04	124566222
M_1671	Tif1	A04	124644034
M_1672	Tif1	A04	124644681
T_59	Tif1	A04	125778930
M_5040	Tif1	A04	125844889
T_60	Tif1	A04	125943661
M_1791	Tif1	A05	6630015
M_1798	Tif1	A05	7515530
M_1808	Tif1	A05	8799684
T_63	Tif1	A05	9243488
M_1814	Tif1	A05	9962065
M_1823	Tif1	A05	12077273
M_1829	Tif1	A05	14108968
M_1932	Tif1	A05	17147115
M_2015	Tif1	A05	17471637
M_1921	Tif1	A05	19846586
M_1923	Tif1	A05	19921243
M_240	Tif1	A05	20105073
M_2144	Tif1	A05	22136609
M_1989	Tif1	A05	23402379
M_1914	Tif1	A05	24254011
M_1912	Tif1	A05	24891924
M_1907	Tif1	A05	25257375
M_1904	Tif1	A05	26784861
M_1889	Tif1	A05	29918401
M_1891	Tif1	A05	29930964
M_1894	Tif1	A05	30324847
M_1876	Tif1	A05	31443701
M_1870	Tif1	A05	34068424
M_1869	Tif1	A05	34206711
M_1867	Tif1	A05	34428478
M_1866	Tif1	A05	34822739
M_5147	Tif1	A05	36182582
M_1853	Tif1	A05	37777039
M_1852	Tif1	A05	37841097
M_1851	Tif1	A05	37858579
M_1849	Tif1	A05	39190441
M_1847	Tif1	A05	39441231
M_1846	Tif1	A05	39443710
M_1840	Tif1	A05	41267216
M_1837	Tif1	A05	42098136
M_1833	Tif1	A05	42560339
M_1940	Tif1	A05	43420441
M_1943	Tif1	A05	43575564
M_1944	Tif1	A05	43841793
M_1952	Tif1	A05	47560340
M_1963	Tif1	A05	49934757
M_1996	Tif1	A05	55296974
M_1975	Tif1	A05	58008774
M_1972	Tif1	A05	59660234
M_1982	Tif1	A05	61354812
M_2002	Tif1	A05	61767740
M_2004	Tif1	A05	66031079
M_2005	Tif1	A05	66039391
M_1981	Tif1	A05	68375088
M_1979	Tif1	A05	69682840
M_1998	Tif1	A05	75630801
M_1992	Tif1	A05	77757382
M_1991	Tif1	A05	77757872
M_1995	Tif1	A05	78084519
M_2007	Tif1	A05	79297936
M_1969	Tif1	A05	83792438
M_1965	Tif1	A05	85373896
M_1966	Tif1	A05	85417884
M_1984	Tif1	A05	86062687
M_2019	Tif1	A05	86972897
M_2026	Tif1	A05	90733014
M_2027	Tif1	A05	90870355
M_2033	Tif1	A05	91707912
M_2036	Tif1	A05	91849666
T_65	Tif1	A05	92073594
M_2039	Tif1	A05	92091718
M_2043	Tif1	A05	92314561
M_2044	Tif1	A05	92369574
M_2046	Tif1	A05	92587285
M_2047	Tif1	A05	92719966
M_2051	Tif1	A05	93781677
M_2052	Tif1	A05	94356344
M_2053	Tif1	A05	94484706
M_2062	Tif1	A05	95655480
M_2063	Tif1	A05	95688883
M_2065	Tif1	A05	95997323
M_2066	Tif1	A05	95997446
M_2068	Tif1	A05	96459175
M_2075	Tif1	A05	96973171
M_2077	Tif1	A05	97211159
M_2082	Tif1	A05	97696193
M_2084	Tif1	A05	97809456
M_2089	Tif1	A05	97898147
M_2091	Tif1	A05	98063988
M_2092	Tif1	A05	98196230
T_66	Tif1	A05	98331037
M_2095	Tif1	A05	98486419
M_2098	Tif1	A05	98685873
M_2099	Tif1	A05	98828523
T_67	Tif1	A05	99315275
M_2108	Tif1	A05	99712486
M_2109	Tif1	A05	99743433
M_2114	Tif1	A05	100158573
M_2115	Tif1	A05	100311335
M_2116	Tif1	A05	100406800
M_2117	Tif1	A05	100944985
M_2122	Tif1	A05	101881644
M_2123	Tif1	A05	101881772
M_2124	Tif1	A05	102009651
M_2127	Tif1	A05	102498164
M_2128	Tif1	A05	102765243
M_2131	Tif1	A05	102978386
M_2132	Tif1	A05	103242751
M_2133	Tif1	A05	103343033
M_2134	Tif1	A05	103343167
M_2142	Tif1	A05	104314013
M_2146	Tif1	A05	105249973
M_2152	Tif1	A05	106301149
M_2153	Tif1	A05	106398594
M_2160	Tif1	A05	107130541
M_2161	Tif1	A05	107131316
M_2162	Tif1	A05	107422552
M_2171	Tif1	A05	107964263
M_2182	Tif1	A05	108598965
M_2184	Tif1	A05	108793193
M_2199	Tif1	A05	109912962
M_2202	Tif1	A05	110195739
M_2203	Tif1	A05	110205661
M_2207	Tif1	A05	110521215
M_2211	Tif1	A05	110657646
M_2214	Tif1	A05	110807572
M_2216	Tif1	A05	110829038
T_69	Tif1	A05	112322289
T_70	Tif1	A05	112322376
M_2224	Tif1	A05	112476483
M_2231	Tif1	A05	114993280
T_71	Tif1	A05	115048567
M_2237	Tif1	A05	115729327
M_2240	Tif1	A06	77233
M_2249	Tif1	A06	1155847
M_2251	Tif1	A06	1425909
M_2252	Tif1	A06	1488332
M_2255	Tif1	A06	1749412
M_2260	Tif1	A06	2071588
M_2267	Tif1	A06	2524177
M_2270	Tif1	A06	2771082
M_2275	Tif1	A06	3559104
T_74	Tif1	A06	4133932
T_75	Tif1	A06	4205066
M_2281	Tif1	A06	4536170
M_2282	Tif1	A06	4689724
M_2288	Tif1	A06	5197010
M_2290	Tif1	A06	5244013
M_2292	Tif1	A06	5274606
M_2293	Tif1	A06	5289417
M_2295	Tif1	A06	5378220
M_2298	Tif1	A06	6264239
M_2301	Tif1	A06	6762348
M_2306	Tif1	A06	7275803
M_2307	Tif1	A06	7349945
M_2320	Tif1	A06	10476135
M_2321	Tif1	A06	10507704
M_2322	Tif1	A06	10542748
M_2323	Tif1	A06	10945108
M_2331	Tif1	A06	11447145
M_2334	Tif1	A06	12205393
M_2342	Tif1	A06	16209559
M_2346	Tif1	A06	16506026
M_2356	Tif1	A06	18580513
M_2361	Tif1	A06	18916869
M_2362	Tif1	A06	18964911
M_2364	Tif1	A06	19345901
M_2366	Tif1	A06	19629410
M_2367	Tif1	A06	19630799
M_2373	Tif1	A06	20246816
M_2375	Tif1	A06	20272433
M_2380	Tif1	A06	20826335
M_2382	Tif1	A06	21140032
M_2385	Tif1	A06	21262095
M_2405	Tif1	A06	39292373
M_2412	Tif1	A06	44451812
M_2413	Tif1	A06	44474289
M_2439	Tif1	A06	49777925
M_2434	Tif1	A06	51657581
M_2427	Tif1	A06	53074790
M_2432	Tif1	A06	53913096
M_2437	Tif1	A06	57346904
M_2444	Tif1	A06	58747159
M_2445	Tif1	A06	59834637
M_2446	Tif1	A06	59834872
M_2422	Tif1	A06	70304457
M_2450	Tif1	A06	72294630
M_2451	Tif1	A06	72621143
M_2453	Tif1	A06	73183471
M_2454	Tif1	A06	74486797
M_2464	Tif1	A06	77610685
M_2466	Tif1	A06	78894690
M_2470	Tif1	A06	79400728
M_4323	Tif1	A06	81821120
M_2477	Tif1	A06	82511591
M_2478	Tif1	A06	83046400
M_2479	Tif1	A06	83046633
M_2480	Tif1	A06	83046861
M_2481	Tif1	A06	83047041
M_2482	Tif1	A06	83047205
M_2483	Tif1	A06	83047559
M_2484	Tif1	A06	83049382
M_2485	Tif1	A06	83050919
M_2486	Tif1	A06	83055736
M_2487	Tif1	A06	83058148
M_2488	Tif1	A06	83058585
M_2489	Tif1	A06	83058903
M_2490	Tif1	A06	83058970
M_2491	Tif1	A06	83059049
M_2492	Tif1	A06	83059066
M_2493	Tif1	A06	83059729
M_2494	Tif1	A06	83060059
M_2495	Tif1	A06	83062062
M_2504	Tif1	A06	84508238
M_5692	Tif1	A06	87291698
M_2508	Tif1	A06	88884338
M_2511	Tif1	A06	89832858
M_2514	Tif1	A06	90830558
M_2527	Tif1	A06	96589354
M_2533	Tif1	A06	98032367
M_2536	Tif1	A06	98305649
M_2542	Tif1	A06	99381592
M_2543	Tif1	A06	99381867
M_2544	Tif1	A06	99382069
M_2545	Tif1	A06	99382257
M_2546	Tif1	A06	99382738
M_2551	Tif1	A06	99666556
M_2552	Tif1	A06	100020224
M_2590	Tif1	A06	108045978
M_2591	Tif1	A06	108197779
M_2593	Tif1	A06	109075168
M_2599	Tif1	A06	109437826
T_78	Tif1	A06	110444008
T_79	Tif1	A06	110444739
M_2616	Tif1	A06	111941176
M_2620	Tif1	A06	112221206
M_2623	Tif1	A06	112473680
T_80	Tif1	A06	112854454
T_83	Tif1	A07	671644
M_2680	Tif1	A07	746246
M_2692	Tif1	A07	2103429
T_84	Tif1	A07	2608457
M_2695	Tif1	A07	2625454
M_2697	Tif1	A07	2630591
M_2698	Tif1	A07	2630670
M_2699	Tif1	A07	2630684
M_2703	Tif1	A07	3043484
M_2704	Tif1	A07	3543552
M_2705	Tif1	A07	3543720
M_2706	Tif1	A07	3544270
M_2707	Tif1	A07	3703930
M_2714	Tif1	A07	5604326
T_86	Tif1	A07	5714325
M_2719	Tif1	A07	5857302
M_2722	Tif1	A07	6215043
M_2723	Tif1	A07	6265194
M_2725	Tif1	A07	6791698
M_2726	Tif1	A07	7673637
M_2728	Tif1	A07	8040620
M_2732	Tif1	A07	8801749
M_2737	Tif1	A07	10656269
M_2746	Tif1	A07	11916127
T_87	Tif1	A07	13195088
M_2752	Tif1	A07	13395502
M_2756	Tif1	A07	13492599
M_2758	Tif1	A07	13968510
M_2761	Tif1	A07	14994839
M_2763	Tif1	A07	15078859
M_2766	Tif1	A07	17006173
M_2769	Tif1	A07	17651635
M_2773	Tif1	A07	19684967
M_2781	Tif1	A07	20524155
T_88	Tif1	A07	21409582
M_2801	Tif1	A07	23167626
M_2799	Tif1	A07	24568729
M_2821	Tif1	A07	30769469
M_1174	Tif1	A07	34087931
M_2828	Tif1	A07	42267100
M_2830	Tif1	A07	46359326
M_2831	Tif1	A07	46457903
M_2832	Tif1	A07	46502667
M_2835	Tif1	A07	47436131
M_2838	Tif1	A07	50009548
M_2840	Tif1	A07	51643493
M_2843	Tif1	A07	52817755
M_2846	Tif1	A07	53427438
M_2848	Tif1	A07	56196759
M_2850	Tif1	A07	59442279
M_2854	Tif1	A07	61091001
M_2855	Tif1	A07	61151528
M_2856	Tif1	A07	61263665
M_2858	Tif1	A07	61388286
M_2859	Tif1	A07	62092537
M_2860	Tif1	A07	62180717
M_2862	Tif1	A07	62721311
M_2863	Tif1	A07	62814483
M_2866	Tif1	A07	63487539
M_2870	Tif1	A07	64284551
M_2871	Tif1	A07	64385170
M_2876	Tif1	A07	64964521
M_2879	Tif1	A07	65300075
M_2880	Tif1	A07	65410716
M_2883	Tif1	A07	65855192
M_2884	Tif1	A07	65947830
M_2888	Tif1	A07	66671553
M_2891	Tif1	A07	67165007
M_2894	Tif1	A07	67531422
M_2814	Tif1	A07	69816727
M_2815	Tif1	A07	70307293
M_2818	Tif1	A07	71017134
M_2819	Tif1	A07	71193681
M_2820	Tif1	A07	71237115
M_2809	Tif1	A07	71637344
M_2810	Tif1	A07	71933065
M_2945	Tif1	A07	72698424
M_2942	Tif1	A07	73035101
M_2937	Tif1	A07	74650130
M_2935	Tif1	A07	74860191
T_89	Tif1	A07	75036336
M_2934	Tif1	A07	75065759
M_6595	Tif1	A07	76148190
M_2925	Tif1	A07	77600603
M_2924	Tif1	A07	77600931
M_2923	Tif1	A07	77601192
M_2922	Tif1	A07	77601585
M_2921	Tif1	A07	77602166
M_2920	Tif1	A07	77602560
M_2919	Tif1	A07	77602587
M_2918	Tif1	A07	77605008
M_2916	Tif1	A07	77727141
M_2915	Tif1	A07	77751897
M_2912	Tif1	A07	78328459
M_2911	Tif1	A07	78407480
M_2910	Tif1	A07	78407833
M_2908	Tif1	A07	78757001
M_2907	Tif1	A07	79510683
M_2905	Tif1	A07	79688797
M_2904	Tif1	A07	79728032
M_2949	Tif1	A08	1004321
M_2950	Tif1	A08	1004905
M_2953	Tif1	A08	1402753
M_2954	Tif1	A08	1438180
M_2955	Tif1	A08	1495448
M_2957	Tif1	A08	1693615
M_2958	Tif1	A08	1898241
M_2959	Tif1	A08	2264540
M_2960	Tif1	A08	2272721
M_2965	Tif1	A08	2877700
M_2966	Tif1	A08	2911529
M_2968	Tif1	A08	3046998
M_2969	Tif1	A08	3122313
M_2971	Tif1	A08	3692664
M_2972	Tif1	A08	3748622
M_2975	Tif1	A08	3998589
M_2977	Tif1	A08	4029132
M_2979	Tif1	A08	4061562
M_2988	Tif1	A08	5005833
M_2987	Tif1	A08	5056232
M_3007	Tif1	A08	6685339
M_3008	Tif1	A08	6711350
M_3009	Tif1	A08	6934085
M_3010	Tif1	A08	6981069
M_3014	Tif1	A08	8204763
M_3017	Tif1	A08	9645045
M_3018	Tif1	A08	9645192
M_3025	Tif1	A08	11372825
M_3029	Tif1	A08	12062870
M_3032	Tif1	A08	12792418
M_3033	Tif1	A08	13392693
M_3041	Tif1	A08	17828975
M_3042	Tif1	A08	18361820
M_3044	Tif1	A08	21946195
T_92	Tif1	A08	24983047
M_3046	Tif1	A08	25465470
M_3052	Tif1	A08	26144557
M_3053	Tif1	A08	26728701
M_3055	Tif1	A08	27305455
M_3056	Tif1	A08	27662320
M_3058	Tif1	A08	27969011
M_3059	Tif1	A08	28008801
M_3063	Tif1	A08	29789629
M_3067	Tif1	A08	30083289
M_3070	Tif1	A08	30369890
M_3073	Tif1	A08	31027521
M_3075	Tif1	A08	31283877
M_3077	Tif1	A08	31637489
M_3080	Tif1	A08	32252807
M_3081	Tif1	A08	32278358
M_3082	Tif1	A08	32447475
M_3084	Tif1	A08	32753441
M_3085	Tif1	A08	32820802
M_3087	Tif1	A08	33001005
T_93	Tif1	A08	33035877
M_3088	Tif1	A08	33200326
M_3089	Tif1	A08	33287917
M_3094	Tif1	A08	34118981
M_3096	Tif1	A08	34438967
M_3099	Tif1	A08	35277846
T_94	Tif1	A08	35809949
M_3107	Tif1	A08	36468480
M_3109	Tif1	A08	36660959
M_3122	Tif1	A08	39987361
M_3123	Tif1	A08	40185630
M_3129	Tif1	A08	42471625
M_3131	Tif1	A08	42580349
M_3132	Tif1	A08	42606205
M_3135	Tif1	A08	43781415
T_97	Tif1	A08	44426377
M_3138	Tif1	A08	44595184
M_3140	Tif1	A08	44772961
M_3142	Tif1	A08	44988465
M_3144	Tif1	A08	45363776
M_3146	Tif1	A08	46093838
T_99	Tif1	A08	46325268
T_101	Tif1	A08	46399608
T_102	Tif1	A08	46448750
M_3164	Tif1	A08	49311642
M_3165	Tif1	A08	49311848
T_103	Tif1	A08	50044538
M_3177	Tif1	A08	50958060
M_3179	Tif1	A08	51419831
M_3183	Tif1	A09	1104535
M_3188	Tif1	A09	1666108
M_3189	Tif1	A09	1667925
M_3190	Tif1	A09	1812474
M_3193	Tif1	A09	2084808
M_2572	Tif1	A09	2148771
T_105	Tif1	A09	5882768
K_1	Tif1	A09	5897500
K_2	Tif1	A09	5900076
M_3200	Tif1	A09	5972315
M_3204	Tif1	A09	6953826
K_3	Tif1	A09	7282290
M_3206	Tif1	A09	7881002
M_3210	Tif1	A09	9039295
T_106	Tif1	A09	10526008
M_3213	Tif1	A09	10780377
M_3214	Tif1	A09	10901617
M_3217	Tif1	A09	11657443
M_3218	Tif1	A09	11842127
M_3219	Tif1	A09	12030285
M_3220	Tif1	A09	12320347
M_3222	Tif1	A09	12715205
M_3232	Tif1	A09	16676463
M_379	Tif1	A09	17085591
M_3234	Tif1	A09	17732954
M_3235	Tif1	A09	17737225
M_3241	Tif1	A09	20794095
M_3244	Tif1	A09	22538244
M_3251	Tif1	A09	24842093
M_3262	Tif1	A09	34088832
M_3264	Tif1	A09	35556371
M_382	Tif1	A09	40719921
M_380	Tif1	A09	40786372
M_3304	Tif1	A09	43507901
M_3305	Tif1	A09	43508911
M_3278	Tif1	A09	46897567
M_3279	Tif1	A09	54027815
M_3281	Tif1	A09	55148495
M_3283	Tif1	A09	55318145
M_7178	Tif1	A09	55318145
M_3302	Tif1	A09	65410188
M_3323	Tif1	A09	69948670
M_3318	Tif1	A09	72175171
M_3319	Tif1	A09	72175471
M_3321	Tif1	A09	72687561
M_3326	Tif1	A09	79442199
M_3327	Tif1	A09	80009999
T_108	Tif1	A09	80024808
M_3329	Tif1	A09	80693346
M_3330	Tif1	A09	81412755
M_3297	Tif1	A09	83052815
M_3331	Tif1	A09	83311141
M_3337	Tif1	A09	87560079
M_3342	Tif1	A09	91893049
M_3343	Tif1	A09	92438100
M_3344	Tif1	A09	93897614
M_3346	Tif1	A09	94968030
M_3352	Tif1	A09	97757393
M_3357	Tif1	A09	99608777
